format_id,format_output
915,mp4
916,mp4
922,mp4
923,mp4
924,mp4
926,mp4
927,mp4
934,mp4
935,mp4
937,mp4
981,mp4
1008,mp4
1012,mp4
1046,mp4
351,mp4
429,mp4
430,mp4
525,advanced_hls
520,advanced_dash
519,fmp4_hls
861,mp4
558,advanced_hls
578,mp4
586,fmp4_hls
591,advanced_hls
624,advanced_fmp4
626,fmp4_hls
645,fmp4_hls
646,fmp4_hls
647,fmp4_hls
648,advanced_fmp4
649,advanced_fmp4
650,advanced_fmp4
668,mp4
726,fmp4_hls
727,advanced_dash
729,advanced_fmp4
730,fmp4_hls
977,mp4
562,advanced_hls
711,fmp4_hls
701,fmp4_hls
538,advanced_hls
568,fmp4_hls
588,fmp4_hls
700,fmp4_hls
712,fmp4_hls
713,fmp4_hls
